first_name,last_name,picture,gender,active,microJurisId,2024_municipality,2024_senate_district,2024_representative_district,2024_politician_type,2024_party,2024_ballot,2024_commisions,2024_primary,2024_general,2024_display_name
Alexander,Hernández Ortíz,/static/images/profile_images/Alexander_Hernandez_Ortiz_0879.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexandra,De Jesús Rodríguez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Alexeis,Quiñones Scott,/static/images/profile_images/Alexeis_Quiñones_Scott_9083.jpg,M,TRUE,,Naguabo,,,alcalde,PIP,,,FALSE,TRUE,
Alex F.,Vargas Segarra,,M,FALSE,,,,19,representante,PPD,,,FALSE,FALSE,
Alexis,García Yulfo,/static/images/profile_images/Alexis_Garcia_Yulfo_4521.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexis,Montes García,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexis,Valle Martínez,,M,FALSE,,,,13,representante,PNP,,,FALSE,FALSE,
Alexis Orlando,Silva Bonet,/static/images/profile_images/Alexis_Orlando_Silva_Bonet_6973.jpg,M,TRUE,,Rincón,,,alcalde,PIP,,,FALSE,TRUE,Alexis Silva Bonet
Alex José II,López Millan,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfonso,Vega,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfonso André,Questell Ortíz,/static/images/profile_images/Alfonso_Andre_Questell_Ortiz_6169.jpg,M,TRUE,,,,2,representante,PIP,,,FALSE,FALSE,
Alfonso José,Fernández Debs,/static/images/profile_images/Alfonso_Jose_Fernandez_Debs_3708.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfredo,Irizarry Martell,/static/images/profile_images/Alfredo_Irizarry_Martell_2685.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfredo,Morales Nieves,,M,TRUE,,Mayagüez,,,alcalde,INDT,,,FALSE,FALSE,
Alfredo (Papo),Alejandro Carrión,/static/images/profile_images/Alfredo_Alejandro_Carrion_8161.jpg,M,TRUE,,Juncos,,,alcalde,PPD,,,FALSE,TRUE,
Amee,Rodríguez Ríos,,F,TRUE,,,,,,,,,FALSE,FALSE,
Américo,Guzmán Caraballo,/static/images/profile_images/Americo_Guzman_Caraballo_4540.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Amnerys Denise,Alvarado Pacheco,/static/images/profile_images/Amnerys_Denise_Alvarado_Pacheco_9457.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Anabel,Sánchez Ayala,/static/images/profile_images/Anabel_Sanchez_Ayala_0265.jpg,F,TRUE,,,,9,representante,PIP,,,FALSE,TRUE,Anabel Sánchez
Ana Delia,Monge Cruz,/static/images/profile_images/Ana_Delia_Monge_Cruz_2128.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ana Elena,Figueroa Benítez,/static/images/profile_images/Ana_Elena_Figueroa_Benitez_9085.jpg,F,TRUE,,Fajardo,,,alcalde,PD,,,FALSE,TRUE,
Ana Esther,Ponce Rosa,/static/images/profile_images/ana-esther-ponce-rosa.jpeg,F,TRUE,,Humacao,,,alcalde,MVC,,,FALSE,TRUE,Ana (Annie) Ponce Rosa
Ana I.,Colón Rivera,/static/images/profile_images/Ana_I_Colon_Rivera_9661.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ana Irma,Rivera Lassén,/static/images/profile_images/Ana_Irma_Rivera_Lassen.jpg,F,TRUE,857,,,,comisionado,MVC,,,FALSE,TRUE,
Ana Lydia,Rosado Ortíz,,F,TRUE,,,,,,,,,FALSE,FALSE,
Anamari,Ojeda Vilá,/static/images/profile_images/Anamari_Ojeda_Vila_6477.jpg,F,TRUE,,,,12,representante,PIP,,,FALSE,TRUE,
Ana Mercedes,Villalobos Robles,/static/images/profile_images/Ana_Mercedes_Villalobos_Robles_3429.jpg,F,TRUE,,Ciales,,,alcalde,PIP,,,FALSE,TRUE,
Ana P.,Rivera Concepción,/static/images/profile_images/Ana_P_Rivera_Concepcion_1032.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ana T.,Nieves Rodríguez,/static/images/profile_images/Ana_Teresa_Nieves_Rodriguez_4207.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ana Verónica,Arache Martínez,/static/images/profile_images/Ana_Veronica_Arache_Martinez_7188.jpg,F,TRUE,,Vieques,,,alcalde,PIP,,,FALSE,FALSE,
Ana Virginia,Piñero Pares,/static/images/profile_images/ana-virginia-pinero-pares.jpeg,F,TRUE,,,,1,representante,PPD,,,FALSE,TRUE,Ana (Ginny) Piñero Parés
Andrés,Miranda Rosado,/static/images/profile_images/Andres_Miranda_Rosado_5325.jpg,M,TRUE,,Corozal,,,alcalde,PIP,,,FALSE,TRUE,
Andrés,Rosario Rosario,/static/images/profile_images/Andres_Antonio_Rosario_Rosario_5038.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Andrés Antonio,Román Arguinzoni,/static/images/profile_images/Andres_Antonio_Roman_Arguinzoni_5290.jpg,M,TRUE,,,,27,representante,PIP,,,FALSE,TRUE,Andrés A. Román Arguinzoni 
Ángel,Bulerín,/static/images/profile_images/Angel_L_Bulerin_Ramos_5676.jpg,M,TRUE,902,,,,,,,,FALSE,FALSE,
Ángel,Ibarrondo Malavé,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel,Matos García,/static/images/profile_images/Angel_Nemesio_Matos_Garcia_8319.jpg,M,TRUE,905,,,40,representante,PPD,,,FALSE,TRUE,
Ángel,Morey,/static/images/profile_images/Angel_Arturo_Morey_Noble_5960.jpg,M,TRUE,871,,,6,representante,PNP,,,FALSE,TRUE,
Ángel,Muñoz Suárez,,M,FALSE,,,,18,representante,PNP,,,FALSE,FALSE,
Ángel,Osorio Vélez,/static/images/profile_images/Angel_Luis_Osorio_Velez_8497.jpg,M,TRUE,,,,37,representante,PPD,,,FALSE,TRUE,Ángel Osorio
Ángel,Toledo López,/static/images/profile_images/Angel_Antonio_Toledo_Lopez_4475.jpg,M,TRUE,,,ACUMULACION,,senador,PNP,,,FALSE,TRUE,
Ángel,Viera Encarnación,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángela,Maurano Deben,,F,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Antonio,Vega Ortíz,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Antonio (Tito),Fourquet Cordero,/static/images/profile_images/angel-antonio-(tito)-fourquet-cordero.jpeg,M,TRUE,889,,,24,representante,PPD,,,FALSE,TRUE,Ángel (Tito) Fourquet Cordero
Ángel Argeo,Negrón De León,/static/images/profile_images/Angel_Argeo_Negron_De_Leon_9378.jpg,M,TRUE,,,,11,representante,PIP,,,FALSE,FALSE,
Ángel Basilio (Bori),González Damudt,/static/images/profile_images/Angel_Basilio_Gonzalez_Damutd_9857.jpg,M,TRUE,,Río Grande,,,alcalde,PPD,,,FALSE,TRUE,Ángel (Bori) González Damudt
Ángel (Beto),Pérez,/static/images/profile_images/Angel_Alberto_Perez_Rodriguez_7123.jpg,M,TRUE,,Moca,,,alcalde,PNP,,,FALSE,TRUE,
Ángel David,Cruz Meléndez,/static/images/profile_images/Angel_David_Cruz_Melendez_7328.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángeles S.,Bonilla Ortíz,/static/images/profile_images/Angeles_S_Bonilla_Ortiz_7200.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Fermín,Candelario Caliz,/static/images/profile_images/Angel_F_Candelario_Caliz_7304.jpg,M,TRUE,,Santa Isabel,,,alcalde,PIP,,,FALSE,TRUE,Fermín Candelario Caliz
Ángel G.,Torres Maldonado,/static/images/profile_images/Angel_G_Torres_Maldonado_3182.jpg,M,TRUE,,,,12,representante,MVC,,,FALSE,TRUE,
Ángel Gabriel,Rodríguez Medina,/static/images/profile_images/Angel_Gabriel_Rodriguez_Medina_9712.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángelica Isabel,Mercado Vélez,/static/images/profile_images/Angelica_Isabel_Mercado_Velez_9444.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ángelissa,Morales Rodríguez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Javier,Pacheco Santiago,/static/images/profile_images/Angel_Javier_Pacheco_Santiago_5283.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Jesús,Vélez Vargas,/static/images/profile_images/Angel_Jesus_Velez_Vargas_0352.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel L.,Sánchez Acevedo,,F,TRUE,,,,,,,,,FALSE,FALSE,
Ángel (Látigo),Torres,,M,FALSE,,Santa Isabel,,,alcalde,PPD,,,FALSE,FALSE,
Ángel (Luigi),Torres Ortíz,/static/images/profile_images/Angel_Luis_Torres_Ortiz_6545.jpg,M,TRUE,,Yauco,,,alcalde,PNP,,,FALSE,TRUE,
Ángel Luis,Alicea Cintrón,/static/images/profile_images/Angel_Luis_Alicea_Cintron_1975.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Luis,Cedeño Jr.,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Luis,Morot Ramos,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Luis,Nieves Jiménez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Luis,Ortíz Valladares,,M,FALSE,,,ACUMULACION,,senador,PNP,,,FALSE,FALSE,
Ángel Luis,Ramos González,/static/images/profile_images/Angel_Luis_Ramos_Gonzalez_0047.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Luis,Rodríguez Rosa,/static/images/profile_images/Angel_Luis_Rodriguez_Rosa_1006.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Luis,Santana Flores,/static/images/profile_images/Angel_Luis_Santana_Flores_4709.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel M. (Ángelo),Martínez,,M,FALSE,,Cidra,,,alcalde,PNP,,,FALSE,FALSE,
Ángel Manuel,Maldonado Monroig,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel Manuel,Marrero Calderón,/static/images/profile_images/Angel_Manuel_Marrero_Calderon_4690.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángel (Nuno),Cruz Acevedo,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ángelo,Cruz Ramos,,M,FALSE,,Ceiba,,,alcalde,PNP,,,FALSE,FALSE,
