2024_display_name,party,municipality
Leamsi Fontánez González,PIP,Cayey
Saúl Gutiérrez Argunzioni,PIP,Cayey
Edgardo Cordero Marcano,PIP,Cayey
Antonio Pérez Aponte,PIP,Cayey
José Orlando Berríos Rivera,PD,Cayey
Lourdes M. Gómez Rivera,PD,Cayey
Eusebio Vega Cintrón,PNP,Ceiba
Lillian Sandoz Perea,PNP,Ceiba
William Rodríguez III Díaz,PNP,Ceiba
Alexis Collazo Torres,PNP,Ceiba
Joel Félix Peña,PNP,Ceiba
Emilio Antonio Maymí Báez,PNP,Ceiba
Jade Negrón Meza,PNP,Ceiba
Nancy Cardona Soto,PNP,Ceiba
Noel García Marrero,PNP,Ceiba
Sigfredo Rivera Meléndez,PPD,Ceiba
Jorge (Gordo) Rodríguez Rodríguez,PPD,Ceiba
Jorge A. Fuentes Matta,PPD,Ceiba
Jorge Cruz Ayala,PPD,Ceiba
Winda I. Meléndez Colón,PPD,Ceiba
César Rivera Tiburcio,PPD,Ceiba
Nannette R. Torres Olivera,PPD,Ceiba
Jesús Concepción Ortiz,PPD,Ceiba
José Gabriel Flores Pérez,PPD,Ceiba
Carlos Enrique Pino Valle III,PIP,Ceiba
Manuel Flores Ramos,PIP,Ceiba
Wadner Javier Molina Tavales,PIP,Ceiba
Héctor García Castro,PIP,Ceiba
Agnes Rodríguez Cintrón,PIP,Ceiba
Sally A. Morales Castro,PD,Ceiba
Estanislao Robles Bea,PD,Ceiba
Héctor Iván Ruiz Rivera,PD,Ceiba
Marilynn Villalobos Cruz,PNP,Ciales
Benny González Fernández,PNP,Ciales
Jeanette Pagán La Luz,PNP,Ciales
Jumet Omar Miranda Ortiz,PNP,Ciales
Carmen M. Ortega Batista,PNP,Ciales
Edith Evarista Estela Ayala,PNP,Ciales
Mercedita Cruz Quiñones,PNP,Ciales
Irianie Vázquez Ocasio,PNP,Ciales
Gustavo Rivera Romero,PNP,Ciales
Nadira Ismet Nazario Ortiz,PPD,Ciales
Vianca Esthela Negrón De Jesús,PPD,Ciales
Milton Manuel De Jesús Rosario,PPD,Ciales
Alexis Montes García,PPD,Ciales
Fabián Andrés Colón Rivera,PPD,Ciales
Eunice Janice Reyes González,PPD,Ciales
Denis Omar Vázquez Adorno,PPD,Ciales
Lizdely Rodríguez Pagán,PPD,Ciales
Luz María Rodríguez López,PPD,Ciales
Marcos Francisco Vicéns Jiménez,PIP,Ciales
Lourdes Raquel La Luz Ayala,PIP,Ciales
Juan G. Calderón González,PIP,Ciales
Leticia Jiménez Rivera,PIP,Ciales
María De Guadalupe Villa Ríos,PIP,Ciales
Nitza I. Negrón Huertas,PIP,Ciales
José J. Ríos Piñeiro,PIP,Ciales
Jorge Espinosa Herrera,PIP,Ciales
Ángel Luis Trinidad García,PIP,Ciales
Jesús B. Nieves Freytes,PD,Ciales
Fernando Luis García Rosario,PD,Ciales
Janlyanne Romero Peñalvert,PD,Ciales
Kevin Joel Rivera Rodríguez,PD,Ciales
Vanessa Otero Rivera,PD,Ciales
Ángel Manuel Román Santos,PD,Ciales
Jennifer Torres López,PD,Ciales
Talia Méndez Hernández,PNP,Cidra
Ingrid Mabel González Meléndez,PNP,Cidra
Edwin Alicea Díaz,PNP,Cidra
Antonio (Tony) Ramos Colón,PNP,Cidra
Carlos Rafael Morales Earthman,PNP,Cidra
Dennis Ian Pérez Viera,PNP,Cidra
José Omar Rodríguez De Jesús,PNP,Cidra
José Ángel Rosa Matos,PNP,Cidra
Aníbal Báez Rivera,PNP,Cidra
Jannette Rodríguez Pérez,PNP,Cidra
Julio José Rojas Cruz,PNP,Cidra
Diana B. Valldejuli Pérez,PPD,Cidra
Horacio Montalván Malavé,PPD,Cidra
Heriberto Ortiz Ruiz,PPD,Cidra
Juan Félix Fernández Meléndez,PPD,Cidra
Samuel Díaz Nieves,PPD,Cidra
Jeannette Torres Negrón,PPD,Cidra
José Antonio Pérez Soto,PPD,Cidra
Anel Rivera Vázquez,PPD,Cidra
Sabina Rodríguez Hernández,PPD,Cidra
Carmen Nitza Carattini González,PPD,Cidra
Coralys Adorno López,PPD,Cidra
Carlos Vidal Arbona,MVC,Cidra
Luis A. Colón Montañez,MVC,Cidra
Luz Nereida Reyes González,MVC,Cidra
Pedro Luis Díaz Franco,MVC,Cidra
Carlos Miguel Otero Vázquez,MVC,Cidra
Juan Luis Cardona Amaro,MVC,Cidra
Ana Delia Santiago De Jesús,MVC,Cidra
Jesús Manuel Cotto Carmona,MVC,Cidra
Víctor Jean Luis Burgos Díaz,MVC,Cidra
Carlos Cruz Jiménez,MVC,Cidra
Germán García Torres,MVC,Cidra
Alexandra Ivelisse Reyes López,PIP,Cidra
Domingo Rivera Ferrer,PIP,Cidra
Hermes Alexis Reyes Colón,PIP,Cidra
José L. Santiago Ruiz,PIP,Cidra
Javier Rodríguez Cotto,PIP,Cidra
Axel Iván González Sierra,PIP,Cidra
Juan A. Lugo Pérez,PIP,Cidra
Luis Alberto Martínez Pedraza,PIP,Cidra
Jaime Pérez Flores,PIP,Cidra
Aida L. Luna González,PIP,Cidra
José F. Cruz Rivera,PIP,Cidra
Jorge L. Roque Pérez,PD,Cidra
Carlos Manuel Agosto Reyes,PD,Cidra
Tomás García Urbina,PD,Cidra
Jorge Pantoja Concepción,PD,Cidra
Julie Ann Del Río Sacarello,PD,Cidra
Miguel Ángel Merced Vázquez,PD,Cidra
Omar Santiago Cruz,PD,Cidra
William Martínez Gómez,PD,Cidra
Daniel Jr Torres Martínez,PNP,Coamo
Norma Passalacqua Matos,PNP,Coamo
Ángel Miguel Cruz Nolasco,PNP,Coamo
Paloma Ortiz Rojas,PNP,Coamo
Doris Violeta Pagán Espada,PNP,Coamo
Danny De Jesús,PNP,Coamo
Ángel Luis Rodríguez,PNP,Coamo
Dora Enid Zayas Colón,PNP,Coamo
Kamila Berríos Aponte,PNP,Coamo
Aníbal Gierbolini Rivera,PNP,Coamo
Eva Amarilis Flores Meléndez,PNP,Coamo
Damaris Lisette Figueroa Santiago,PPD,Coamo
Francisco Cruz Burgos,PPD,Coamo
Carmen L. Colón Padilla,PPD,Coamo
Lourdes L. Arce Jiménez,PPD,Coamo
Carlos Aníbal Reyes Rivera,PPD,Coamo
Luis (Pito) Torres Borges,PPD,Coamo
Carmen J. Colón Colón,PPD,Coamo
Edwin J. Echevarría Ortíz,PPD,Coamo
Aitza Loren Martínez Martínez,PPD,Coamo
Neida Luz Mateo Reyes,PPD,Coamo
Héctor Julio Cruz Alvarado,PPD,Coamo
Pedro José Cruz Segarra,PIP,Coamo
Diego J. Gorbea Lizarríbar,PIP,Coamo
Kamila Negrón Carrasquillo,PIP,Coamo
Minerva Vega Rodríguez,PIP,Coamo
José Á. López De Victoria Santiago,PIP,Coamo
Carlos Rafael Negrón López,PIP,Coamo
Nelson Rodríguez Bonilla,PIP,Coamo
Ceslo Rodríguez González,PIP,Coamo
Marta L. Aponte Meléndez,PIP,Coamo
Wilfrido Burgos Rodríguez,PIP,Coamo
Ramón Luis Vázquez Collazo,PIP,Coamo
Jannette Vila,PNP,Comerío
Zamary Ojeda Avilés,PNP,Comerío
Raúl Joel Falcón Ayala,PNP,Comerío
Christian Alicea Cabrera,PNP,Comerío
Jorge Alicea Santos,PNP,Comerío
Luz H. (Aidita) Morales,PNP,Comerío
Janice Rodríguez,PNP,Comerío
Paulanicole Ortiz Gorritz,PNP,Comerío
Brendalí Escribano,PNP,Comerío
Juan B. Padilla Cosme,PPD,Comerío
Mary Carmen Rodríguez Alejandro,PPD,Comerío
José A. Rodríguez Otero,PPD,Comerío
Rafael A. García Acosta,PPD,Comerío
Raúl Figueroa Berríos,PPD,Comerío
Carmen N. Alvarado Malavé,PPD,Comerío
Belkis Yamitza Díaz Hevia,PPD,Comerío
María Milagros Ramírez Santos,PPD,Comerío
José Ramón Morales Flores,PPD,Comerío
Cristian González,MVC,Comerío
Iliana Agosto Ayala,MVC,Comerío
Raziel Figueroa Figueroa,MVC,Comerío
Brendaly Rivera Malavé,MVC,Comerío
Kevin Nieves Rodríguez,MVC,Comerío
Naisha Nicole López Cancel,MVC,Comerío
Sergio Yahveh Santiago Sánchez,MVC,Comerío
Rubén Ortiz Cruz,PIP,Comerío
Yaxinailiz Ayala Alicea,PIP,Comerío
Valeria Colón López,PIP,Comerío
Juan Carlos Bermúdez Ayala,PIP,Comerío
Karol S. Ramírez Delgado,PIP,Comerío
Virgilio Valentín Ruiz,PIP,Comerío
Iris Dianne Falcón Cabrera,PIP,Comerío
Helda Liz Alicea Feliciano,PIP,Comerío
Carlos Colón Márquez,PIP,Comerío
Daniel Hiraldo Delbrey,PD,Comerío
José (Joewy) Ocasio,PNP,Corozal
Yoadis Rodríguez Berríos,PNP,Corozal
María A. Santiago Meléndez,PNP,Corozal
Yolanda Cartagena Ortiz,PNP,Corozal
Kenny Rivera López,PNP,Corozal
Anthony (Falo) Martínez Matos,PNP,Corozal
María L. Rolón Rivera,PNP,Corozal
Christian Yomar Rivera Santiago,PNP,Corozal
Víctor Solís Rodríguez,PNP,Corozal
Frances M. Lugo Santiago,PNP,Corozal
Lilliam Santiago Guevara,PNP,Corozal
Eric Javián Cordero Vázquez,PPD,Corozal
Norma Matos Pérez,PPD,Corozal
Abinoel Rosado Feliciano,PPD,Corozal
Grisela Guzmán González,PPD,Corozal
Yarsimar Torres Jiménez,PPD,Corozal
José R. Rodríguez Sánchez,PPD,Corozal
Adalberto Ortiz López,PPD,Corozal
Mirta Matos Pérez,PPD,Corozal
Nitza Rosado Centeno,PPD,Corozal
Keithsarys Feliciano Cruz,PPD,Corozal
Careliz Torres Sánchez,PPD,Corozal
Ángel R. Negrón Rodríguez,PIP,Corozal
Rosalina Vega Rivera,PIP,Corozal
Esteban Ocasio Ortiz,PIP,Corozal
Gisela Soler Román,PIP,Corozal
Edgardo Hernández Pérez,PIP,Corozal
Wigberto Berríos Herlos,PIP,Corozal
Ana Luz Ortiz Rivera,PIP,Corozal
Anderís Rivera Santiago,PIP,Corozal
Alondra Sofía Díaz Ortiz,PIP,Corozal
Merzaida Ríos Guzmán,PIP,Corozal
Rafael Rivera Torres,PIP,Corozal
Noemí González González,PNP,Culebra
Luis Javier Rivera Ayala,PNP,Culebra
Carlos T. Carrión Colón,PNP,Culebra
Alexander Hernández Ortiz,PNP,Culebra
José Munet Solís,PPD,Culebra
William Kenny Solís Bermúdez,PPD,Culebra
Rubén Vargas Padín,PPD,Culebra
Yavier José Vargas López,PPD,Culebra
Nelson Meléndez Brau,MVC,Culebra
Sandra M. Méndez Hernández,MVC,Culebra
Suzanne Hebert Jomp,MVC,Culebra
Adalberto (Bejuco) Maldonado Romero,PNP,Dorado
Noel Matta Rodríguez,PNP,Dorado
Olga I. López Hernández,PNP,Dorado
Aníbal Rivera Acevedo,PNP,Dorado
Alberto Vázquez Rosado,PNP,Dorado
Alba Nydia Soto Rojas,PNP,Dorado
Manuel De Jesús López Alamo,PNP,Dorado
Josué Isaac Pérez Román,PNP,Dorado
Manuel Jiménez Berberena,PNP,Dorado
Shanalee Ocasio Soto,PNP,Dorado
Félix Méndez Piñeiro,PNP,Dorado
José A. Torres Archilla,PPD,Dorado
Daisy Ríos Isern,PPD,Dorado
Héctor J. López Salgado,PPD,Dorado
Miguel Ángel Concepción Báez,PPD,Dorado
Ramón Hernández Morales,PPD,Dorado
Gloria C. Pérez Reyes,PPD,Dorado
Fanny Morales Pérez,PPD,Dorado
Adrián Edgardo Huertas López,PPD,Dorado
José E. Cartagena Rodríguez,PPD,Dorado
Freyda V. Miranda Ríos,PPD,Dorado
Jonathan Medina Díaz,PPD,Dorado
Salvador Meléndez,MVC,Dorado
John Paul Ayala,MVC,Dorado
Elsa Melecio Freytes,MVC,Dorado
Alejandro Efraín Rodríguez Báez,MVC,Dorado
Julio Vázquez Perélez,MVC,Dorado
Marian Jelie Ojeda Rivera,MVC,Dorado
Héctor Lee Rodríguez De Jesús,MVC,Dorado
Cynthia Teresa García Coll,MVC,Dorado
Wilfredo Rodríguez Ocasio,MVC,Dorado
Diana E. Laureano Rivera,MVC,Dorado
Vanessa Victoria Rodríguez López,MVC,Dorado
Ramón Marrero Cordova,PD,Dorado
Edith Vélez Pérez,PD,Dorado
Luis Eugenio Matta Donatiu,PNP,Fajardo
Rosa V. Quiñones Ortiz,PNP,Fajardo
Nilda I. Vázquez Díaz,PNP,Fajardo
Ana Delia Monge Cruz,PNP,Fajardo
Edgardo Pimentel Vázquez,PNP,Fajardo
Víctor Torres Santiago,PNP,Fajardo
Billy Boyd Flores Piña,PNP,Fajardo
Julio Febo Febo,PNP,Fajardo
Wilfredo Lugo Fabre,PNP,Fajardo
Migdalia Canales Pacheco,PNP,Fajardo
Kensar J. Cruz Estrada,PNP,Fajardo
Ángel Luis Morales Rivera,PPD,Fajardo
Ryand Omar Feliciano Sánchez,PPD,Fajardo
Norma Guzmán,PPD,Fajardo
Anni Grace Mitchell Arias,PPD,Fajardo
Ricardo Donatiu Berríos,PPD,Fajardo
Fabián Velázquez López,PPD,Fajardo
Carmen Astacio Caraballo,PPD,Fajardo
Myrna García Carrillo,PPD,Fajardo
Santiago Leduc Silva,PPD,Fajardo
Johanny Llabrés Morales,PPD,Fajardo
Francisca Flores Morales,PPD,Fajardo
Miguel Ángel Molina Fontánez,PIP,Fajardo
Elba Nydia Dávila García,PIP,Fajardo
Nilsa Ivette Centeno Curbelo,PIP,Fajardo
Rubén Medina Fontánez,PIP,Fajardo
Raphael Domínguez Carrillo,PIP,Fajardo
Minerva Vázquez López,PIP,Fajardo
Isabel García López,PIP,Fajardo
Rafael A. Díaz Morales,PIP,Fajardo
Miguel A. Prieto Meléndez,PIP,Fajardo
Stephanie Ortiz Gutiérrez,PIP,Fajardo
José Manuel Rivera Corchado,PIP,Fajardo
Rafael Felipe Corujo López,PD,Fajardo
Noemí Rincón Uriguen,PD,Fajardo
Ashley Ann García Ortiz,PD,Fajardo
Felipe Omar Carmona García,PD,Fajardo
Joaquín Collazo Maldonado,PD,Fajardo
Luis García Torres,PD,Fajardo
Ivonne Vanesa Colón Rodríguez ,INDT,Fajardo
Ángel Luis Cedeño Jr.,PNP,Florida
Aryam Limarys Lourido Vidal,PNP,Florida
Wilfredo (Will) Iturrino Maldonado,PNP,Florida
Miguel Ángel Vega Rivera,PNP,Florida
José M. Santana Orellano,PNP,Florida
Luis Omar Reyes Vázquez,PNP,Florida
Axel Javier Delgado Portalatín,PNP,Florida
Ricardo Núñez Morales,PNP,Florida
Arnaldo José Centeno Vázquez,PNP,Florida
Antonio L. Andújar Santiago,PPD,Florida
Rafael (Raphy) González Morales,PPD,Florida
Juan J. Delgado Soto,PPD,Florida
Ana M. Meléndez Molina,PPD,Florida
Ixia E. Santiago Mestey,PPD,Florida
Rigo Luis Aponte Santiago,PPD,Florida
Eriol Vázquez Hernández,PPD,Florida
Aida Mendoza Mercado,PPD,Florida
Pedro Rivera Negrón,PPD,Florida
Emma I. Mestey Bergollo,PIP,Florida
Juan F. Rodríguez Avilés,PIP,Florida
José A. Cruz Echevarría,PIP,Florida
Jaime Vega Santiago,PIP,Florida
Carmen Llanet Crespo Cortés,PIP,Florida
Misael Ramos Rivera,PIP,Florida
Israel Vega Santiago,PIP,Florida
Lydia Rosa Echevarría Menéndez,PIP,Florida
Leocadio Rosario Maldonado,PIP,Florida
Juan M. Perales,PD,Florida
Jarmín Sánchez,PD,Florida
Jonattan Vega Cardona,PD,Florida
Edward Luis Toro Heredia,PD,Florida
Carlos Alberto Feliciano Feliciano,PD,Florida
Lizbeth Díaz Mercado,PD,Florida
Edwin Galarza Quiñonez,PNP,Guánica
Francisco J. Medina Ayala,PNP,Guánica
Carmen M. Vargas Nazario,PNP,Guánica
Doris Ann Pacheco (Nani),PNP,Guánica
Nereida Tirado Vega,PNP,Guánica
Heisha Pacheco Muñiz,PNP,Guánica
Elliot Almodóvar Quiles,PNP,Guánica
Leslie Flores Rodríguez,PNP,Guánica
Linnette Nahir Padilla García,PNP,Guánica
Alberto Tirú Velázquez,PPD,Guánica
Juanalberto Santos Pérez,PPD,Guánica
Haydee Irizarry Santana,PPD,Guánica
Pedro Antonio Santiago Almodóvar,PPD,Guánica
Nicolás Santiago Paneto,PPD,Guánica
Jesús M. Cardona García,PPD,Guánica
José Quiles Ortiz,PPD,Guánica
Jacqueline Ayala Santiago,PPD,Guánica
Jován Vargas Ocasio,PPD,Guánica
María J. Ruiz Ramos,PIP,Guánica
Jorge L. Quiñones Sánchez,PIP,Guánica
Ramona Camacho Vega,PIP,Guánica
Zulma Almodóvar Tirado,PIP,Guánica
Pedro Edgardo García Camacho,PIP,Guánica
Juancarlo Porof Jr.,PIP,Guánica
Miriam Cruz Bracero,PIP,Guánica
Carmen Orengo Cruz,PIP,Guánica
Juan R. Alicea Estrada,PIP,Guánica
Víctor Enrique McDougall Rivera,INDT,Guánica
Sharon I. Montalvo Pérez,INDT,Guánica
Diego Muriel García,INDT,Guánica
Shakira Tairís Rivera Montalvo,INDT,Guánica
Jeffrey Quiñones González,PNP,Guayama
Neftalí Ortiz Ortiz,PNP,Guayama
María Deida,PNP,Guayama
Francisco Paco Cruz Alicea,PNP,Guayama
Yachira García Velázquez,PNP,Guayama
Domingo Escobar Clausell,PNP,Guayama
Mildred Guzmán Jorge,PNP,Guayama
(Cano Carite) González De Jesús Wilbert Alexi,PNP,Guayama
José Juan Pomales Montes,PNP,Guayama
Glorydeliz García Torres,PNP,Guayama
Johnny Vázquez,PNP,Guayama
Jannice Socorro Pérez Figueroa,PPD,Guayama
Víctor Carmelo Rodríguez Cintrón,PPD,Guayama
Carlos Acosta Meléndez,PPD,Guayama
Carlos Manuel Enchautegui Rivera,PPD,Guayama
Sergio Gómez Velázquez,PPD,Guayama
Francisca M. Pomales Suárez (Paquita),PPD,Guayama
Everida Tirado Santiago,PPD,Guayama
Enid Milagros González Rivera,PPD,Guayama
Ruth Miriam García Meléndez,PPD,Guayama
Nixalis Peña Santiago,PPD,Guayama
José Cordero Torres,PPD,Guayama
Diane Morea Vázquez,MVC,Guayama
Gazehound Soto Cora,MVC,Guayama
Wanda I. Bristol López,MVC,Guayama
Erica María Rivera Hernández,MVC,Guayama
Daisy Cruz Bastián,MVC,Guayama
Fariam Valdés Cotto,PIP,Guayama
Yandir Omar Mora Rodríguez,PIP,Guayama
Roberto Luis Vázquez Figueroa,PIP,Guayama
Sol Amarilis De Jesús Alicea,PIP,Guayama
Anthony Rivera Morales,PIP,Guayama
Jelimarie Díaz Moret,PIP,Guayama
Juan Valentín Morales,PIP,Guayama
Sol Marielis Malvet De Jesús,PIP,Guayama
Kenneth Rolando De León Colón,PIP,Guayama
Christian E. García Rodríguez,PIP,Guayama
Luis Enrique Aponte Vázquez,PIP,Guayama
Maribel Enid Caraballo Collazo,PD,Guayama
Milton Echandy Caraballo,PD,Guayama
Christine Lopez Gonzalez,PD,Guayama
Alexis Suárez Ortiz,PD,Guayama
Francisco Quirós Orengo,PNP,Guayanilla
Glenda Alvarado Pagán,PNP,Guayanilla
Miriam Caraballo Malavé,PNP,Guayanilla
Rubén Cedeño Feliciano,PNP,Guayanilla
Yarelis (Yayi) Correa Velázquez,PNP,Guayanilla
Germín Báez Vélez (Nenuco),PNP,Guayanilla
Emilio Isaac Quirindongo Fraticelli,PNP,Guayanilla
Anthoney Anavitate Cuadrado,PNP,Guayanilla
Johanna Marrero Oliveras,PNP,Guayanilla
Adan Feliciano Irizarry,PPD,Guayanilla
Jashira Acevedo García,PPD,Guayanilla
Joel Pagán Pagán,PPD,Guayanilla
Nayda López Maldonado,PPD,Guayanilla
Nitza Rodríguez Ghiglioty,PPD,Guayanilla
Samuel González Rodríguez,PPD,Guayanilla
Luis A. López Velázquez,PPD,Guayanilla
Carlos (Purin) Caraballo,PPD,Guayanilla
Luiseeles Torres Fernández,PPD,Guayanilla
Saimé Figueroa Rodríguez,MVC,Guayanilla
Ramón Ernesto Nazario Pascual,PIP,Guayanilla
José A. Sierra Ruiz,PIP,Guayanilla
Ángela María Irizarry Rodríguez,PIP,Guayanilla
María Mercedes Quirós Lugo,PIP,Guayanilla
José Francisco Sáez Cintrón,PIP,Guayanilla
Pedro L. Torres,PIP,Guayanilla
Jesús Emmanuelli Molinari,PIP,Guayanilla
Luz Divina Rodríguez Robles,PIP,Guayanilla
Luis Manuel González Velázquez,PIP,Guayanilla
Juan Reyes Nieves,PNP,Guaynabo
Patricia Sofía Martínez Reyes,PNP,Guaynabo
Miguel Negrón Rivera,PNP,Guaynabo
Jorge R. Marquina,PNP,Guaynabo
(Dondi) Carlos Martínez,PNP,Guaynabo
Guillermo Urbina Machuca,PNP,Guaynabo
Luis Carlos Maldonado Padilla,PNP,Guaynabo
Joaquín Rosado Morales,PNP,Guaynabo
Ángel O’Neill Pérez,PNP,Guaynabo
Gabriel Alexis Báez Lozada,PNP,Guaynabo
María Elena Vázquez Graziani,PNP,Guaynabo
Carlos M. Santos Otero,PNP,Guaynabo
Javier Capestany Figueroa,PNP,Guaynabo
Niurka Del Valle Colón,PPD,Guaynabo
Mariana Castro,PPD,Guaynabo
Wilma I. Pastrana Jiménez,PPD,Guaynabo
María De Los M. Pérez Alicea,PPD,Guaynabo
Sandra Del Valle Colón,PPD,Guaynabo
Fernando I. Santiago Pérez,PPD,Guaynabo
Omar Llópiz,PPD,Guaynabo
Carmen Rosa Cotté Cintrón,PPD,Guaynabo
Elias García Nieves,PPD,Guaynabo
José Aníbal Herrero Acevedo,PPD,Guaynabo
Israel Rodríguez Colón,PPD,Guaynabo
Miguel A. Matienzo Matienzo,PPD,Guaynabo
Sandra E. Ramos Ramos,PPD,Guaynabo
Gilbert Alberto Bigio Berlios,MVC,Guaynabo
Frances Figarella García,MVC,Guaynabo
Noel Alejandro Acevedo Guasp,MVC,Guaynabo
Iris Margarita Vega Rivera,MVC,Guaynabo
Luis De La Vega Trifilio,MVC,Guaynabo
Antonio Bou Córdova,MVC,Guaynabo
Félix Córdova Iturregui,MVC,Guaynabo
Carlos E. Córdova Iturregui,MVC,Guaynabo
Inés Rosario Méndez,MVC,Guaynabo
Lorenzo Padró Monge,MVC,Guaynabo
Tatiana Castro Santiago,MVC,Guaynabo
Vinicia Morales Santiago,MVC,Guaynabo
José L. Ortiz Pizarro,MVC,Guaynabo
Gabriela María Alonso Ribas,PIP,Guaynabo
Carlos Calero López,PIP,Guaynabo
José René Muñiz Menéndez,PIP,Guaynabo
Bertis María Delgado Figueroa,PIP,Guaynabo
José R. López Díaz,PIP,Guaynabo
Rafael Luis Rivera González,PIP,Guaynabo
Héctor L. Pérez Acevedo,PIP,Guaynabo
Ana María Zulueta Martínez,PIP,Guaynabo
Ada N. Reyes Jiménez,PIP,Guaynabo
Gustavo Adolfo Meléndez Ávila,PIP,Guaynabo
Ramón Luis Fuentes Reyes,PIP,Guaynabo
María Soledad Calero López,PIP,Guaynabo
María Teresa Ribas Reyes,PIP,Guaynabo
Arthur M. Mac Donald López,PD,Guaynabo
José Ernesto Álvarez Carrillo,PD,Guaynabo
Edwin Francisco García Cabrera,PD,Guaynabo
Raymond Capó Díaz,PD,Guaynabo
Gladys García Sepúlveda,PD,Guaynabo
Adalberto José Rodríguez Robles,PD,Guaynabo
Bryan Mac Donald García,PD,Guaynabo
María E. Rodríguez Ortiz,PNP,
Pedro J. Sánchez Rivera,PNP,
Linette M. Rodríguez Benítez,PNP,Gurabo
Raquel Martínez Carrillo,PNP,Gurabo
José Manuel Carrasquillo Figueroa,PNP,Gurabo
Layransman Román Fontanez,PNP,Gurabo
Luis A. Acevedo García,PNP,Gurabo
Carlos Rivera Mercado,PNP,Gurabo
José Raúl Castro Benjamín,PNP,Gurabo
Víctor Vázquez Cruz,PNP,Gurabo
José A. Pérez Sánchez,PNP,Gurabo
Evelyn Dávila Sierra,PNP,Gurabo
Zoraida Hernáiz Morales,PNP,Gurabo
José Juan Cruz Hernández,PPD,Gurabo
Rubén Maldonado Aguayo,PPD,Gurabo
Carmen López,PPD,Gurabo
Juan Alexis Hernández Suárez,PPD,Gurabo
Carlos Manuel Viera García,PPD,Gurabo
Dyanne Zavala Díaz,PPD,Gurabo
Héctor (Chiqui) Román,PPD,Gurabo
Ely M. (Laito) Castro Didlonet,PPD,Gurabo
Ángel L. Colón (Mr. Colón),PPD,Gurabo
Alberto Negrón Colón,PPD,Gurabo
Michael G. Sandoval Gutiérrez,PPD,Gurabo
María Luisa Jiménez Cruz,PPD,Gurabo
Joaquín (Kinsito) Carrión,PPD,Gurabo
Leonel Ortiz Reyes,MVC,Gurabo
Ángel M. Franco Molina,PIP,Gurabo
Ericca Vélez Díaz,PIP,Gurabo
Emmanuel Resto Resto,PIP,Gurabo
María Irma Ramírez Pagán,PIP,Gurabo
Edwin Edgardo Figueroa Rosa,PIP,Gurabo
Emmanuel Figueroa Vélez,PIP,Gurabo
Edgardo José Figueroa Vélez,PIP,Gurabo
Yolanda Pereira Lozada,PIP,Gurabo
Carmelo Rodríguez Delgado,PIP,Gurabo
Ana María Rodríguez Delgado,PIP,Gurabo
Rafdell Delgado Ríos,PIP,Gurabo
William Morales Ortiz,PIP,Gurabo
Manuel Guadalupe Guadalupe,PD,Gurabo
Juan José Peraza Batista,PNP,Hatillo
Liz Sandra Carde Correa,PNP,Hatillo
Luis (Coca) Pérez Moya,PNP,Hatillo
Yeltsin Medina Fuentes,PNP,Hatillo
Harrys Pagán Galarza,PNP,Hatillo
(Rolo) Orlando López,PNP,Hatillo
José Hiram Álvarez Correa,PNP,Hatillo
Yanira (Yani) Mercado Rodríguez,PNP,Hatillo
Yadira Mercado Crespo,PNP,Hatillo
Dariel Luis Collazo Román,PNP,Hatillo
Wilfredo Junior Luciano Pijuán,PNP,Hatillo
Olga Iris Cortés García,PPD,Hatillo
Héctor Javier Aguilar Romero,PPD,Hatillo
Gumersindo Nieves Cruz,PPD,Hatillo
María Del C. Reyes Figueroa,PPD,Hatillo
Miguel Alicea Torres,PPD,Hatillo
Miguel A. Ruiz,PPD,Hatillo
Edgardo Rosado Torres,PPD,Hatillo
Julio Rosa Medina,PPD,Hatillo
Arsenio Hiram Arce Álvarez,PPD,Hatillo
Joel García Pérez,PPD,Hatillo
Carlos R. Soto Cruz,PPD,Hatillo
Eric Joel De Jesús Valentín,MVC,Hatillo
Nancy Ivette Mora Martínez,PIP,Hatillo
Carmen Martínez Mora,PIP,Hatillo
Carmen Yeritza Gutiérrez Martínez,PIP,Hatillo
Wilfredo Martínez Mora,PIP,Hatillo
Keila Marie Gutiérrez Martínez,PIP,Hatillo
Jorge Saavedra Osorio,PIP,Hatillo
Iris S. Martínez Mora,PIP,Hatillo
Yitza Marie Castro López,PIP,Hatillo
Luz M. Martínez Mora,PIP,Hatillo
Miguel Rodríguez Machado,PD,Hatillo
Yamira Jeanette Acevedo Reyes,PD,Hatillo
María Laura De León Monrouzeau,PD,Hatillo
Roberto Mercado Román,PD,Hatillo
Gabriel Orlando Rodríguez Machado,PD,Hatillo
Gerardo (Jay) Toro,PNP,Hormigueros
Carlos Isaías Rodríguez Ortiz,PNP,Hormigueros
Josué Acevedo Nieves,PNP,Hormigueros
Karla Michelle Rodríguez Ortiz,PNP,Hormigueros
Omar Martínez Pagán,PNP,Hormigueros
Wilfredo Rivera Toro,PNP,Hormigueros
Raymond Vega Ramos,PNP,Hormigueros
Wanda Olivencia Santiago,PNP,Hormigueros
Nemesy Enid Caraballo Ortiz,PNP,Hormigueros
Ricardo Mauroza Bonilla,PPD,Hormigueros
Israel Peña Mercado,PPD,Hormigueros
Edward Cancel Rodríguez,PPD,Hormigueros
Ivelisse Durand Vélez,PPD,Hormigueros
Wilma E. Sánchez Cruz,PPD,Hormigueros
Maida Jiménez Rodríguez,PPD,Hormigueros
