Full Name,Precinct,Order
César Augusto Vázquez Muñíz,013,1
Gabriel F. Rodríguez Aguiló,013,1
José A. (Josian) Santiago,013,1
José Bernardo Márquez Reyes,013,1
Noel Berríos Díaz,013,1
Raquel Rodríguez Gauthier,013,1
Swanny Enit Vargas Laureano,013,1
Denis Márquez Lebrón,013,1
Joanne Marie Rodríguez Veve,013,1
José Antonio Vargas Vidot,013,1
Lisie Janet Burgos Muñíz,013,1
Luis Raúl Torres Cruz,013,1
María de Lourdes Santiago Negrón,013,1
César Augusto Vázquez Muñíz,014,1
Gabriel López Arrieta,014,1
José (Pichy) Torres Zamora,014,1
José Bernardo Márquez Reyes,014,1
Luis Javier (Javy) Hernández,014,1
Migdalia Padilla Alvelo,014,1
Noel Berríos Díaz,014,1
Raquel Rodríguez Gauthier,014,1
Roxanna I. Soto Aguilú (Abogada Motorizada),014,1
Denis Márquez Lebrón,014,1
Joanne Marie Rodríguez Veve,014,1
José Antonio Vargas Vidot,014,1
Lisie Janet Burgos Muñíz,014,1
Luis Raúl Torres Cruz,014,1
María de Lourdes Santiago Negrón,014,1
Brenda Pérez Soto,015,1
Cristina Pérez Reyes,015,1
Edwin Mieles Richard,015,1
Elizabeth Rosa,015,1
José (Pichy) Torres Zamora,015,1
José Luis Dalmau Santiago,015,1
Ramón Torres,015,1
Roxanna I. Soto Aguilú (Abogada Motorizada),015,1
Taira Barreto Canals,015,1
Denis Márquez Lebrón,015,1
Joanne Marie Rodríguez Veve,015,1
José Antonio Vargas Vidot,015,1
Lisie Janet Burgos Muñíz,015,1
Luis Raúl Torres Cruz,015,1
María de Lourdes Santiago Negrón,015,1
Ángel Toledo López,016,1
Denis Márquez Lebrón,016,1
Brenda Pérez Soto,016,1
Cristina Pérez Reyes,016,1
Edwin Mieles Richard,016,1
Elizabeth Rosa,016,1
Gabriel F. Rodríguez Aguiló,016,1
José A. (Josian) Santiago,016,1
Swanny Enit Vargas Laureano,016,1
Taira Barreto Canals,016,1
Joanne Marie Rodríguez Veve,016,1
José Antonio Vargas Vidot,016,1
Lisie Janet Burgos Muñíz,016,1
Luis Raúl Torres Cruz,016,1
María de Lourdes Santiago Negrón,016,1
Denis Márquez Lebrón,017,1
Ángel Toledo López,017,1
Cristina Pérez Reyes,017,1
Edwin Mieles Richard,017,1
Elizabeth Rosa,017,1
Gabriel (Gaby) González,017,1
Gabriel F. Rodríguez Aguiló,017,1
José A. (Josian) Santiago,017,1
Swanny Enit Vargas Laureano,017,1
Taira Barreto Canals,017,1
Joanne Marie Rodríguez Veve,017,1
José Antonio Vargas Vidot,017,1
Lisie Janet Burgos Muñíz,017,1
Luis Raúl Torres Cruz,017,1
María de Lourdes Santiago Negrón,017,1
Denis Márquez Lebrón,018,1
Cristina Pérez Reyes,018,1
Edwin Mieles Richard,018,1
Elizabeth Rosa,018,1
Gabriel (Gaby) González,018,1
Gabriel López Arrieta,018,1
José (Pichy) Torres Zamora,018,1
Luis Javier (Javy) Hernández,018,1
Roxanna I. Soto Aguilú (Abogada Motorizada),018,1
Taira Barreto Canals,018,1
Joanne Marie Rodríguez Veve,018,1
José Antonio Vargas Vidot,018,1
Lisie Janet Burgos Muñíz,018,1
Luis Raúl Torres Cruz,018,1
María de Lourdes Santiago Negrón,018,1
Denis Márquez Lebrón,019,1
Brenda Pérez Soto,019,1
Cristina Pérez Reyes,019,1
Edwin Mieles Richard,019,1
Elizabeth Rosa,019,1
Gabriel López Arrieta,019,1
José (Pichy) Torres Zamora,019,1
Luis Javier (Javy) Hernández,019,1
Roxanna I. Soto Aguilú (Abogada Motorizada),019,1
Taira Barreto Canals,019,1
Joanne Marie Rodríguez Veve,019,1
José Antonio Vargas Vidot,019,1
Lisie Janet Burgos Muñíz,019,1
Luis Raúl Torres Cruz,019,1
María de Lourdes Santiago Negrón,019,1
Denis Márquez Lebrón,020,1
Ángel Toledo López,020,1
Cristina Pérez Reyes,020,1
Edwin Mieles Richard,020,1
Elizabeth Rosa,020,1
Gabriel (Gaby) González,020,1
Gabriel F. Rodríguez Aguiló,020,1
José A. (Josian) Santiago,020,1
Swanny Enit Vargas Laureano,020,1
Taira Barreto Canals,020,1
Joanne Marie Rodríguez Veve,020,1
José Antonio Vargas Vidot,020,1
Lisie Janet Burgos Muñíz,020,1
Luis Raúl Torres Cruz,020,1
María de Lourdes Santiago Negrón,020,1
Denis Márquez Lebrón,021,1
Brenda Pérez Soto,021,1
Cristina Pérez Reyes,021,1
Edwin Mieles Richard,021,1
Elizabeth Rosa,021,1
José Luis Dalmau Santiago,021,1
Keren Riquelme Cabrera,021,1
Ramón Torres,021,1
Taira Barreto Canals,021,1
Tatiana Pérez Ramírez,021,1
Joanne Marie Rodríguez Veve,021,1
José Antonio Vargas Vidot,021,1
Lisie Janet Burgos Muñíz,021,1
Luis Raúl Torres Cruz,021,1
María de Lourdes Santiago Negrón,021,1
Denis Márquez Lebrón,022,1
Cristina Pérez Reyes,022,1
Edwin Mieles Richard,022,1
Elizabeth Rosa,022,1
Gabriel (Gaby) González,022,1
José Luis Dalmau Santiago,022,1
Keren Riquelme Cabrera,022,1
Ramón Torres,022,1
Taira Barreto Canals,022,1
Tatiana Pérez Ramírez,022,1
Joanne Marie Rodríguez Veve,022,1
José Antonio Vargas Vidot,022,1
Lisie Janet Burgos Muñíz,022,1
Luis Raúl Torres Cruz,022,1
María de Lourdes Santiago Negrón,022,1
Denis Márquez Lebrón,023,1
Ángel Toledo López,023,1
Francisco Javier Rodríguez NapoLeóni,023,1
Gabriel F. Rodríguez Aguiló,023,1
Gabriel López Arrieta,023,1
Jamie Barlucea,023,1
Justiniano Díaz Maldonado,023,1
Luis Javier (Javy) Hernández,023,1
Marially González Huertas,023,1
Ramón Rodríguez Ramos,023,1
Joanne Marie Rodríguez Veve,023,1
José Antonio Vargas Vidot,023,1
Lisie Janet Burgos Muñíz,023,1
Luis Raúl Torres Cruz,023,1
María de Lourdes Santiago Negrón,023,1
Denis Márquez Lebrón,024,1
Brenda Pérez Soto,024,1
Cristina Pérez Reyes,024,1
Edwin Mieles Richard,024,1
Elizabeth Rosa,024,1
Gabriel López Arrieta,024,1
José Aponte Hernández,024,1
Leyda Cruz,024,1
Luis Javier (Javy) Hernández,024,1
Taira Barreto Canals,024,1
Joanne Marie Rodríguez Veve,024,1
José Antonio Vargas Vidot,024,1
Lisie Janet Burgos Muñíz,024,1
Luis Raúl Torres Cruz,024,1
María de Lourdes Santiago Negrón,024,1
Denis Márquez Lebrón,025,1
Cristina Pérez Reyes,025,1
Edwin Mieles Richard,025,1
Elizabeth Rosa,025,1
Gabriel (Gaby) González,025,1
Gregorio Matías Rosario,025,1
José (Che) Pérez,025,1
José A. (Josian) Santiago,025,1
Swanny Enit Vargas Laureano,025,1
Taira Barreto Canals,025,1
Joanne Marie Rodríguez Veve,025,1
José Antonio Vargas Vidot,025,1
Lisie Janet Burgos Muñíz,025,1
Luis Raúl Torres Cruz,025,1
María de Lourdes Santiago Negrón,025,1
Denis Márquez Lebrón,026,1
Ada Álvarez Conde,026,1
Brenda Pérez Soto,026,1
Cristina Pérez Reyes,026,1
Edwin Mieles Richard,026,1
Elizabeth Rosa,026,1
Héctor Ferrer,026,1
Keren Riquelme Cabrera,026,1
Taira Barreto Canals,026,1
Tatiana Pérez Ramírez,026,1
Joanne Marie Rodríguez Veve,026,1
José Antonio Vargas Vidot,026,1
Lisie Janet Burgos Muñíz,026,1
Luis Raúl Torres Cruz,026,1
María de Lourdes Santiago Negrón,026,1
Denis Márquez Lebrón,027,1
Ada Álvarez Conde,027,1
Cristina Pérez Reyes,027,1
Edwin Mieles Richard,027,1
Elizabeth Rosa,027,1
Gabriel (Gaby) González,027,1
Héctor Ferrer,027,1
José Aponte Hernández,027,1
Leyda Cruz,027,1
Taira Barreto Canals,027,1
Joanne Marie Rodríguez Veve,027,1
José Antonio Vargas Vidot,027,1
Lisie Janet Burgos Muñíz,027,1
Luis Raúl Torres Cruz,027,1
María de Lourdes Santiago Negrón,027,1
Denis Márquez Lebrón,028,1
Brenda Pérez Soto,028,1
Cristina Pérez Reyes,028,1
Edwin Mieles Richard,028,1
Elizabeth Rosa,028,1
Gregorio Matías Rosario,028,1
José (Che) Pérez,028,1
José Luis Dalmau Santiago,028,1
Ramón Torres,028,1
Taira Barreto Canals,028,1
Joanne Marie Rodríguez Veve,028,1
José Antonio Vargas Vidot,028,1
Lisie Janet Burgos Muñíz,028,1
Luis Raúl Torres Cruz,028,1
María de Lourdes Santiago Negrón,028,1
Denis Márquez Lebrón,029,1
Cristina Pérez Reyes,029,1
Edwin Mieles Richard,029,1
Elizabeth Rosa,029,1
Gabriel (Gaby) González,029,1
Gregorio Matías Rosario,029,1
José (Che) Pérez,029,1
José Luis Dalmau Santiago,029,1
Ramón Torres,029,1
